Column 1,Column 2,Column 3,Column 4,Column 5
X,CH 1,CH 2,Start,Increment
µs, V, V,-3.000000e-03,5.000000e-06
-7823.955073,5.60,0.40,,
-7821.954828,5.60,0.40,,
-7819.954584,5.60,0.40,,
-7817.954340,5.60,0.40,,
-7815.954096,5.60,0.40,,
-7813.953852,5.60,0.40,,
-7811.953608,5.60,0.40,,
-7809.953363,5.40,0.40,,
-7807.953119,5.60,0.40,,
-7805.952875,5.40,0.40,,
-7803.952631,5.60,0.40,,
-7801.952387,5.60,0.40,,
-7799.952143,5.60,0.40,,
-7797.951898,5.60,0.40,,
-7795.951654,5.60,0.40,,
-7793.951410,5.60,0.40,,
-7791.951166,5.60,0.40,,
-7789.950922,5.60,0.40,,
-7787.950678,5.40,0.40,,
-7785.950433,5.60,0.40,,
-7783.950189,5.60,0.40,,
-7781.949945,5.60,0.40,,
-7779.949701,5.40,0.40,,
-7777.949457,5.60,0.40,,
-7775.949213,5.60,0.40,,
-7773.948968,5.40,0.40,,
-7771.948724,5.60,0.40,,
-7769.948480,5.60,0.40,,
-7767.948236,5.40,0.40,,
-7765.947992,5.60,0.40,,
-7763.947748,5.60,0.40,,
-7761.947503,5.60,0.40,,
-7759.947259,5.40,0.40,,
-7757.947015,5.60,0.40,,
-7755.946771,5.60,0.40,,
-7753.946527,5.60,0.40,,
-7751.946283,5.60,0.40,,
-7749.946038,5.60,0.40,,
-7747.945794,5.60,0.40,,
-7745.945550,5.60,0.20,,
-7743.945306,5.60,0.40,,
-7741.945062,5.60,0.40,,
-7739.944817,5.60,0.40,,
-7737.944573,5.80,0.40,,
-7735.944329,5.60,0.40,,
-7733.944085,5.40,0.40,,
-7731.943841,5.60,0.40,,
-7729.943597,5.60,0.40,,
-7727.943352,5.60,0.40,,
-7725.943108,5.60,0.40,,
-7723.942864,5.60,0.40,,
-7721.942620,5.60,0.40,,
-7719.942376,5.40,0.40,,
-7717.942132,5.60,0.40,,
-7715.941887,5.60,0.40,,
-7713.941643,5.60,0.40,,
