Column 1,Column 2,Column 3,Column 4,Column 5
X,CH 1,CH 2,Start,Increment
µs, V, V,-3.000000e-03,5.000000e-06
-7843.957514,5.60,-4.00,,
-7841.957270,5.60,-4.00,,
-7839.957026,5.60,-4.20,,
-7837.956782,5.60,-4.00,,
-7835.956538,5.60,-4.20,,
-7833.956293,5.60,-4.00,,
-7831.956049,5.60,-4.20,,
-7829.955805,5.60,-4.20,,
-7827.955561,5.60,-4.00,,
-7825.955317,5.60,-4.20,,
-7823.955073,5.60,-4.00,,
-7821.954828,5.60,-4.20,,
-7819.954584,5.60,-4.00,,
-7817.954340,5.60,-4.00,,
-7815.954096,5.60,-4.20,,
-7813.953852,5.60,-4.00,,
-7811.953608,5.60,-4.20,,
-7809.953363,5.60,-4.20,,
-7807.953119,5.60,-4.20,,
-7805.952875,5.60,-4.40,,
-7803.952631,5.60,-4.20,,
-7801.952387,5.60,-4.00,,
-7799.952143,5.60,-4.20,,
-7797.951898,5.60,-4.20,,
-7795.951654,5.60,-4.20,,
-7793.951410,5.60,-4.20,,
-7791.951166,5.60,-4.00,,
-7789.950922,5.60,-4.20,,
-7787.950678,5.60,-4.20,,
-7785.950433,5.60,-4.20,,
-7783.950189,5.60,-4.00,,
-7781.949945,5.60,-4.20,,
-7779.949701,5.60,-4.20,,
-7777.949457,5.60,-4.20,,
-7775.949213,5.60,-4.20,,
-7773.948968,5.60,-4.20,,
-7771.948724,5.60,-4.20,,
-7769.948480,5.60,-4.20,,
-7767.948236,5.60,-4.20,,
-7765.947992,5.60,-4.20,,
-7763.947748,5.60,-4.20,,
-7761.947503,5.60,-4.20,,
-7759.947259,5.40,-4.20,,
-7757.947015,5.60,-4.20,,
-7755.946771,5.60,-4.20,,
-7753.946527,5.80,-4.20,,
-7751.946283,5.60,-4.00,,
-7749.946038,5.60,-4.20,,
-7747.945794,5.60,-4.20,,
-7745.945550,5.60,-4.20,,
-7743.945306,5.60,-4.20,,
-7741.945062,5.60,-4.20,,
-7739.944817,5.60,-4.20,,
-7737.944573,5.60,-4.20,,
-7735.944329,5.60,-4.00,,
-7733.944085,5.60,-4.20,,
-7731.943841,5.60,-4.00,,
-7729.943597,5.60,-4.40,,
-7727.943352,5.60,-4.20,,
-7725.943108,5.60,-4.20,,
-7723.942864,5.60,-4.20,,
-7721.942620,5.60,-4.00,,
-7719.942376,5.60,-4.20,,
-7717.942132,5.60,-4.20,,
-7715.941887,5.60,-4.20,,
-7713.941643,5.60,-4.20,,
-7711.941399,5.60,-4.20,,
-7709.941155,5.60,-4.20,,
-7707.940911,5.60,-4.00,,
-7705.940667,5.60,-4.00,,
-7703.940422,5.60,-4.20,,
-7701.940178,5.60,-4.40,,
-7699.939934,5.60,-4.20,,
-7697.939690,5.60,-4.00,,
-7695.939446,5.60,-4.20,,
-7693.939202,5.60,-4.20,,
-7691.938957,5.60,-4.20,,
-7689.938713,5.60,-4.20,,
-7687.938469,5.60,-4.20,,
-7685.938225,5.60,-4.00,,
-7683.937981,5.60,-4.00,,
-7681.937737,5.60,-4.20,,
-7679.937492,5.60,-4.20,,
-7677.937248,5.60,-4.20,,
-7675.937004,5.60,-4.20,,
-7673.936760,5.60,-4.20,,
-7671.936516,5.60,-4.20,,
-7669.936272,5.60,-4.00,,
-7667.936027,5.40,-4.20,,
-7665.935783,5.60,-4.20,,
-7663.935539,5.60,-4.20,,
-7661.935295,5.60,-4.20,,
-7659.935051,5.60,-4.00,,
-7657.934806,5.60,-4.20,,
-7655.934562,5.60,-4.20,,
-7653.934318,5.60,-4.20,,
-7651.934074,5.60,-4.20,,
-7649.933830,5.60,-4.20,,
-7647.933586,5.60,-4.20,,
-7645.933341,5.60,-4.00,,
-7643.933097,5.60,-4.20,,
-7641.932853,5.60,-4.20,,
-7639.932609,5.60,-4.20,,
-7637.932365,5.60,-4.20,,
-7635.932121,5.60,-4.00,,
-7633.931876,5.60,-4.20,,
-7631.931632,5.60,-4.20,,
-7629.931388,5.60,-4.00,,
-7627.931144,5.60,-4.20,,
-7625.930900,5.60,-4.20,,
-7623.930656,5.60,-4.20,,
-7621.930411,5.60,-4.20,,
-7619.930167,5.60,-4.00,,
-7617.929923,5.60,-4.00,,
-7615.929679,5.60,-4.20,,
-7613.929435,5.60,-4.20,,
-7611.929191,5.60,-4.20,,
-7609.928946,5.60,-4.20,,
-7607.928702,5.60,-4.20,,
-7605.928458,5.60,-4.20,,
-7603.928214,5.60,-4.20,,
-7601.927970,5.60,-4.00,,
-7599.927726,5.60,-4.00,,
-7597.927481,5.60,-4.20,,
-7595.927237,5.60,-4.20,,
-7593.926993,5.60,-4.20,,
-7591.926749,5.60,-4.20,,
-7589.926505,5.60,-4.20,,
-7587.926261,5.60,-4.20,,
-7585.926016,5.60,-4.20,,
-7583.925772,5.60,-4.20,,
-7581.925528,5.60,-4.20,,
-7579.925284,5.60,-4.20,,
-7577.925040,5.60,-4.00,,
-7575.924796,5.60,-4.20,,
-7573.924551,5.60,-4.20,,
-7571.924307,5.60,-4.20,,
-7569.924063,5.60,-4.00,,
-7567.923819,5.60,-4.20,,
-7565.923575,5.60,-4.20,,
-7563.923330,5.60,-4.20,,
-7561.923086,5.60,-4.00,,
-7559.922842,5.60,-4.20,,
-7557.922598,5.60,-4.20,,
-7555.922354,5.60,-4.00,,
-7553.922110,5.60,-4.20,,
-7551.921865,5.60,-4.20,,
-7549.921621,5.60,-4.20,,
-7547.921377,5.60,-4.20,,
-7545.921133,5.60,-4.20,,
-7543.920889,5.60,-4.20,,
-7541.920645,5.60,-4.20,,
-7539.920400,5.60,-4.20,,
-7537.920156,5.60,-4.00,,
-7535.919912,5.60,-4.20,,
-7533.919668,5.60,-4.00,,
-7531.919424,5.60,-4.20,,
-7529.919180,5.60,-4.20,,
-7527.918935,5.60,-4.20,,
-7525.918691,5.60,-4.00,,
-7523.918447,5.60,-4.20,,
-7521.918203,5.60,-4.20,,
-7519.917959,5.60,-4.20,,
-7517.917715,5.60,-4.00,,
-7515.917470,5.60,-4.00,,
